Time	PID	OldState	NewState
0	1001	NEW	READY
0	1001	READY	RUNNING
100	1002	NEW	READY
100	1001	RUNNING	TERMINATED
100	1002	READY	RUNNING
150	1002	RUNNING	WAITING
250	1002	WAITING	READY
250	1002	READY	RUNNING
300	1002	RUNNING	TERMINATED
400	1003	NEW	READY
400	1003	READY	RUNNING
401	1004	NEW	READY
409	1003	RUNNING	WAITING
409	1004	READY	RUNNING
419	1004	RUNNING	WAITING
424	1003	WAITING	READY
424	1003	READY	RUNNING
434	1004	WAITING	READY
434	1003	RUNNING	WAITING
434	1004	READY	RUNNING
444	1004	RUNNING	WAITING
449	1003	WAITING	READY
449	1003	READY	RUNNING
459	1004	WAITING	READY
459	1003	RUNNING	WAITING
459	1004	READY	RUNNING
469	1004	RUNNING	WAITING
474	1003	WAITING	READY
474	1003	READY	RUNNING
484	1004	WAITING	READY
484	1003	RUNNING	WAITING
484	1004	READY	RUNNING
494	1004	RUNNING	WAITING
499	1003	WAITING	READY
499	1003	READY	RUNNING
509	1003	RUNNING	TERMINATED
509	1004	WAITING	READY
509	1004	READY	RUNNING
519	1004	RUNNING	TERMINATED
